920119200	17	17201	172010096	"920-1192"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"角間町"	"カクママチ"						"金沢大学　（角間キャンパス）"	"カナザワダイガク　（カクマキヤンパス）"	"角間町１"	
920118100	17	17201	172010112	"920-1181"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"金川町"	"カナガワマチ"						"北陸大学　薬学部"	"ホクリクダイガク　ヤクガクブ"	"金川町ホ３"	
920862000	17	17201	172010168	"920-8620"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"御所町"	"ゴショマチ"						"学校法人　稲置学園　金沢星稜大学"	"ガツコウホウジン　イナオキガクエン　カナザワセイリヨウダイガク"	"御所町丑１０番地１"	
920865600	17	17201	172010169	"920-8656"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"小立野"	"コダツノ"						"金沢美術工芸大学"	"カナザワビジユツコウゲイダイガク"	"小立野５丁目１１−１"	
920139200	17	17201	172010240	"920-1392"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"末町"	"スエマチ"						"金沢学院大学"	"カナザワガクインダイガク"	"末町１０−５−１"	
920139300	17	17201	172010240	"920-1393"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"末町"	"スエマチ"						"金沢学院大学付属高等学校"	"カナザワガクインダイガクフゾクコウトウガツコウ"	"末町１０"	
920118000	17	17201	172010259	"920-1180"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"太陽が丘"	"タイヨウガオカ"						"北陸大学"	"ホクリクダイガク"	"太陽が丘１丁目１"	
920864000	17	17201	172010276	"920-8640"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"宝町"	"タカラマチ"						"金沢大学　医学部"	"カナザワダイガク　イガクブ"	"宝町１３−１"	
920864100	17	17201	172010276	"920-8641"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"宝町"	"タカラマチ"						"金沢大学　附属病院"	"カナザワダイガク　フゾクビヨウイン"	"宝町１３−１"	
920139600	17	17201	172010456	"920-1396"	1	0	"石川県"	"イシカワケン"	"金沢市"	"カナザワシ"	"三小牛町"	"ミツコウジマチ"						"北陸学院短期大学"	"ホクリクガクインタンキダイガク"	"三小牛町イ１１"	
923851100	17	17203	172030095	"923-8511"	1	0	"石川県"	"イシカワケン"	"小松市"	"コマツシ"	"四丁町"	"シチョウマチ"						"公立大学法人　公立小松大学"	"コウリツダイガクホウジン　コウリツコマツダイガク"	"四丁町ヌ１−３"	
924851100	17	17210	172100033	"924-8511"	1	0	"石川県"	"イシカワケン"	"白山市"	"ハクサンシ"	"笠間町"	"カサママチ"						"金城大学"	"キンジヨウダイガク"	"笠間町１２００番地"	
923129200	17	17211	172110004	"923-1292"	1	0	"石川県"	"イシカワケン"	"能美市"	"ノミシ"	"旭台"	"アサヒダイ"						"北陸先端科学技術大学院大学"	"ホクリクセンタンカガクギジユツダイガクインダイガク"	"旭台１丁目１"	
921850100	17	17212	172120003	"921-8501"	1	0	"石川県"	"イシカワケン"	"野々市市"	"ノノイチシ"	"扇が丘"	"オウギガオカ"						"学校法人　金沢工業大学"	"ガツコウホウジン　カナザワコウギヨウダイガク"	"扇が丘７−１"	
920029300	17	17365	173650006	"920-0293"	1	0	"石川県"	"イシカワケン"	"河北郡内灘町"	"カホクグンウチナダマチ"	"大学"	"ダイガク"						"金沢医科大学"	"カナザワイカダイガク"	"大学１丁目１"	
